"CVEGEO","POB1"
"1308301330496",64
"1308301330528",NA
"1308301330532",NA
"1308301330547",NA
"1308301330551",NA
"1308301330566",NA
"1308301330570",NA
"1308301330585",NA
"130830133059A",NA
"1308301330602",NA
"1308301330617",NA
"1308301330621",NA
"1308301330636",NA
"1308400010099",1274
"1308400010173",1079
"1308400010188",1202
"1308400010192",1607
"1308400010205",2356
"130840001021A",2363
"1308400010224",1617
"1308400010243",109
"1308400010258",169
"1308400010262",443
"1308400010277",986
"1308400010281",1035
"1308400010296",74
"1308400010309",72
"1308400010313",346
"13001001A",4851
"130010024",8697
"130010039",8281
"130020017",21334
"130020040",7663
"130030014",732
"130030029_D",53
"130030029_K",5180
"130030029_P",555
"130030033",4903
"130030090",4900
"130040011",3238
"130040026",4750
"130050019",269
"130050038_S",0
"130050038_V",2970
"130050057",9
"130050061",379
"130060016",2609
"130060020",8160
"130060035",405
"13006004A",6194
"130070013",1694
"130070028",3174
"130070047",2060
"130080010",697
"130080025",3510
"13008003A",4609
"130080044",3422
"130090018",13586
"130100324",2256
"130100339",166
"130110035",3559
"13011004A",13293
"130120013",6355
"130120028",1139
"130120032",4423
"130120066",9801
"130130010_C",0
"130130010_X",4967
"13013003A",2699
"130130044",7180
"130140018",4781
"130140037",4704
"130150015",6688
"13015002A",2870
"130150034",1269
"130150049",1246
"130150053",4903
"130150068",388
"130150072",1312
"130160027",5715
"130160031",3129
"130160046",2716
"130160205",18901
"13016021A",326
"13017001A",275
"130170024",4993
"130170039",5693
"130180017",7210
"130180021",9501
"130180040",2138
"130190014",11539
"130190029",3596
"130200015",147
"13020002A",699
"130200034",1146
"130210012",5562
"130210031",29
"13022001A",5967
"130220024",7008
"130230017",15057
"130240014",6413
"130240029",1093
"130240033",2501
"130240048",7183
"130250011",4437
"130250026",4082
"130250045",3635
"13025005A",4713
"130260019",11996
"130270016",2788
"130270020",4233
"130270035",5693
"13027004A",5031
"130280013",11678
"130280028",7635
"130280047",29424
"130280051",23426
"130290010",4052
"130290025",14
"13029003A",8294
"130290044",6523
"130290063",4851
"130290078",6813
"130300011",4809
"130300026",15613
"130300030",12012
"130300045",4514
"13030005A",16974
"130310019",996
"130310023",463
"130310042",3238
"130310057",1208
"130310061",1803
"130320016",4604
"130330013",2279
"130340010",3583
"130340025",2293
"13034003A",3008
"130350018",5580
"130350022",5239
"130350041",11
"130360015",3542
"13036002A",3100
"130360034",1019
"130370012",1599
"130370027",2591
"130370031",1589
"130370046",713
"130370050",1923
"13037007A",4323
"130370084",1656
"130370099",835
"130370101",1762
"130370116",697
"13038001A",6080
"130380024",2265
"130390017",3175
"130400018",2056
"130400022",5255
"130400037",1962
"130410015",7776
"13041002A",6954
"130410119",1594
"130420012",4444
"130420027",2139
"13043001A",1199
"130430024",841
"130430039",1146
"130430043",2675
"130440017",5691
"130440021",4349
"130440036",5753
"130450014",6068
"130450029",2177
"130460011",3683
"130460026",3684
"130460030",3881
"130460045",12122
"130470019",598
"130470023",1773
"130470038",1437
"130470042",400
"130480016",4071
"130480020_R",0
"130480020_V",4266
"130480270",122
"130482671_F",0
"130482671_M",0
"130490013",10553
"130490028",5742
"130500014",306
"130500029",2950
"130510562_A",1043
"130510562_F",0
"130510577_I",1463
"130510577_Z",15495
"130520019",4961
"130520023",9470
"130520038",5697
"130520080",3365
"130530016",2015
"130530020",2613
"130530035",1949
"13053004A",6503
"130530054",1855
"130540013",16325
"130540051",3168
"130540117",1107
"130540121",8393
"130550010",5592
"130550025",1272
"13055003A",763
"130550044",2273
"130550059",3175
"130560145",921
"13056015A",12615
"130570015",2419
"13057002A",5460
"130570049",1383
"130570053",1075
"130580012",0
"130580027",3525
"130580031",9886
"13059001A",2068
"130590024",7856
"130590043",8485
"130590058",2538
"130590062",1970
"130590077",8392
"130600010",6439
"130600025",8450
"130610018",1382
"130610022",2401
"130610037",4357
"130620015",7980
"13062002A",6765
"130620034",8090
"130620049",4786
"130630012",7550
"130630027",10337
"130630031",4839
"130630046",7138
"13064001A",2547
"130640024",7227
"130650017",2623
"130660014",4064
"130670011_W",13581
"130670011_Z",0
"130670030",4364
"130680019",3754
"130680023",5542
"130680038",3313
"130690016_E",0
"130690016_I",8062
"130690016_J",1274
"130690016_P",0
"130690016_R",1
"130690016_S",0
"130690016_Z",0
"130700017_G",2847
"130700017_Z",0
"130710014",3321
"130710029",350
"130710033",3029
"130710048",1337
"130710067",538
"130710071",225
"130720011",613
"130720026",2438
"130730019",10428
"130730023",4604
"130730038",8727
"130730042",5294
"130740016",1317
"130750013_L",0
"130750013_Q",4622
"130750013_X",31
"130750032",9
"130760010",9438
"130760025",6306
"130760044",6536
"130760063",10578
"130770145",5878
"130770164_V",0
"130770164_X",11042
"130770179",2464
"130770183",1094
"130770200",2037
"130780015",7429
"13078002A",9238
"130790027",2329
"130790046",2278
"130790050",1107
"130800013",7143
"130800028",11201
"130810010",2296
"130810059",5127
"130810063",1260
"130820018",43
"130820022_H",0
"130820022_S",229
"13083002A",4409
"130830034",6966
"130830068_C",0
"130830068_F",0
"130830068_G",2686
"130830068_M",2565
"130830068_V",0
"130830072",6176
"130840012",1609
"130840027",533
"130840031",819
"130840046",986
"130840050",1805
"130840065",9145
"13084007A",1062
"130840084",3385
"130840101",3265
"130840116",2586
