"","hogares","conteo","POB1"
"1038","1307700100802",16,1662
"1039","1307700101139",5,255
"1040","1307700101196",1,116
"1041","1307700180554",2,2008
"1042","1307700180569",2,3047
"1043","1307700180728",1,84
"1044","1307700201088",9,1808
"1045","1307700201092",14,1294
"1046","1307700201105",36,550
"1047","1307700530770",12,2167
"1048","1307700530785",8,2743
"1049","1307700530874",3,2839
"1050","1307700680925",5,2092
"1051","130770068093A",2,2331
"1052","1307700680944",4,2614
"1053","130770108111A",1,2362
"1054","1307701081124",1,2264
"1055","130770145",124,5878
"1056","130770164_V",1,0
"1057","130770164_X",288,11042
"1058","130770179",92,2464
"1059","130770183",37,1094
"1060","1308100010152",1,1556
"1061","1308100010171",1,2153
"1062","1308100010186",1,1657
"1063","1308100010237",1,250
"1064","1308100010241",2,2083
"1065","130810010",2,2296
"1066","1308200010145",7,37
"1067","1308200010179",145,1618
"1068","1308200010183",73,1045
"1069","1308200010287",179,1609
"1070","1308200010291",101,641
"1071","1308200010342",10,28
"1072","1308200020056",139,1922
"1073","1308200020126",165,1896
"1074","1308200020164",2,65
"1075","1308200020198",44,1857
"1076","1308200020200",45,1149
"1077","1308200020215",38,1359
"1078","1308200020268",44,1298
"1079","1308200020272",26,1441
"1080","1308200030304",62,1787
"1081","1308200030319",58,1459
"1082","1308200030323",48,821
"1083","1308200030338",86,1108
"1084","130820018",4,43
"1085","130820022_S",980,229
"1086","1308300010087",3,29
"1087","1308300010119",33,1007
"1088","1308300010123",30,463
"1089","1308300010157",81,1244
"1090","1308300010180",235,1208
"1091","1308300010195",162,1528
"1092","1308300010208",1,53
"1093","1308300010231",8,439
"1094","1308300010246",32,455
"1095","1308300010250",28,355
"1096","1308300010265",6,318
"1097","130830023027A",66,1857
"1098","1308300230284",111,1782
"1099","1308300260299",31,1168
"1100","1308300260301",40,617
"1101","1308300260316",46,729
"1102","13083002A",541,4409
"1103","130830034",551,6966
"1104","130830068_F",1,0
"1105","130830068_G",355,2686
"1106","130830068_M",141,2565
"1107","130830072",352,6176
"1108","1308301020161",124,1158
"1109","1308301020176",202,1749
"1110","1308301020509",233,709
"1111","1308301020513",74,541
"1112","1308301330015",9,40
"1113","1308301330320",216,1755
"1114","1308301330335",138,1409
"1115","130830133034A",95,2491
"1116","1308301330354",59,1267
"1117","1308301330369",111,1701
"1118","1308301330373",4,94
"1119","1308301330388",32,349
"1120","1308301330392",43,466
"1121","1308301330405",48,509
"1122","130830133041A",4,101
"1123","1308301330424",155,1180
"1124","1308301330439",145,1728
"1125","1308301330443",66,431
"1126","1308301330458",145,1050
"1127","1308301330462",27,275
"1128","1308301330477",141,825
"1129","1308301330481",180,1854
"1130","1308301330496",23,64
"1131","1308301330528",10,NA
"1132","1308301330532",3,NA
"1133","1308301330585",3,NA
"1134","1308400010192",1,1607
