"hogares","conteo","POB1"
"1305200010273",10,2099
"1305200010288",35,2576
"1305200010292",31,2689
"130520019",24,5376.34686248746
"130520019031A",22,1845
"1305200190324",13,1225
"130520023",213,4012.46772460778
"130520038",16,8966.47975011471
"130520080",2,5137.70566279005
"130540013",1,15635.4451414826
"1305400190102",2,3607
"130550025",1,3760.00166721041
"130550059",1,1454.0073234544
"1305600050179",1,2148
"13056015A",1,13354.4016498741
"1305700010087",1,2149
"130570015",2,2114.83020549147
"13057002A",1,2546.067498883
"130590024",1,6155.86636764525
"1306100010677",1,1395
"1306100010681",1,1056
"1306100020412",2,1983
"1306100020431",1,1320
"1306100020450",2,1678
"1306100020484",1,2343
"1306100020499",1,725
"1306100020696",1,0
"1306600010029",2,1824
"1306600010048",5,3015
"1306600010137",1,1090
"1306600080118",2,1862
"130660014",9,4064
"130690001004A",4,167
"1306900010054",2,276
"1306900010069",13,2779
"1306900010073",70,2986
"1306900010177",46,4172
"1306900010247",1,8
"1306900010266",3,147
"130690001029A",11,1704
"1306900010374",31,1745
"1306900010980",8,1834
"1306900020482",23,1296
"1306900020497",16,1066
"130690002050A",52,1919
"1306900020514",11,956
"1306900020919",5,437
"1306900020923",1,2
"1306900020957",31,1324
"1306900021283",1,NA
"1306900051048",9,981
"1306900051052",6,645
"1306900051067",15,716
"1306900051071",31,1706
"1306900051086",27,1227
"1306900051090",21,1334
"1306900051103",36,1189
"1306900051118",14,1602
"1306900051122",16,587
"1306900080213",41,2228
"130690008043A",10,1797
"1306900080444",16,1780
"1306900100529",61,1129
"1306900100533",52,1797
"130690016_I",488,5916.99765268974
"130690016_J",2,3068.81476052966
"130690016_P",1,29.8798725723126
"130690016_S",2,48.518770883375
"1306900190410",115,4623
"1306900190425",50,2368
"1306900190938",9,853
"1306900190976",17,462
"1306900420548",13,986
"1306900420552",33,1622
"1306900420567",34,2374
"1306900420571",38,1628
"1306900420586",13,903
"1306900420590",35,1687
"1306900420603",13,1424
"1306900420618",20,1685
"1306900420622",26,1241
"1306900420637",15,1008
"1306900420641",25,1344
"1306900420656",16,1538
"1306900420660",20,1570
"1306900420675",25,1681
"130690044068A",17,1199
"1306900440694",20,620
"1306900440707",5,504
"1306900440711",12,844
"1306900440726",12,864
"1306900440730",28,1371
"1306900440745",17,1349
"130690044075A",20,1351
"1306900440764",23,1565
"1306900440779",24,1643
"1306900440783",9,1390
"1306900440800",44,1628
"1306900440815",33,1004
"130690044082A",34,988
"1306900440834",33,579
"1306900440887",31,963
"130690044132A",17,NA
"1306900501175",14,1377
"130690050118A",34,1042
"1306900501194",15,1103
"1307200010079",1,2552
"1307400010124",1,3395
"1307500010051",5,2468
"1307500010066",1,1083
"1307500020121",1,1717
"1307500020140",1,1231
"130750013_Q",9,3708.59644789157
"1307500410193",1,729
"1307500410206",7,1351
"1307500410210",2,1754
"1307700010499",2,1470
"1307700010520",1,1609
"1307700010588",1,1930
"1307700010696",1,1313
"1307700010982",1,1711
"1307700201088",1,1808
"1307700680925",1,2092
"130770068093A",1,2331
"130770164_X",5,7169.83053996414
"130770179",8,3434.73481884672
"1308200010145",1,37
"1308200010179",22,1618
"1308200010183",14,1045
"1308200010287",34,1609
