"hogares","conteo","POB1"
"1308200020056",18,1922
"1308200020126",5,1896
"1308200020164",1,65
"1308200020198",7,1857
"1308200020200",5,1149
"1308200020215",5,1359
"1308200020268",2,1298
"1308200020272",5,1441
"1308200030304",9,1787
"1308200030319",9,1459
"1308200030323",3,821
"1308200030338",17,1108
"130820022_S",309,171.340441395516
"1308300010119",6,1007
"1308300010123",4,463
"1308300010157",14,1244
"1308300010180",44,1208
"1308300010195",23,1528
"1308300010246",8,455
"1308300010250",1,355
"1308300010265",1,318
"130830023027A",10,1857
"1308300230284",16,1782
"1308300260299",4,1168
"1308300260301",5,617
"1308300260316",9,729
"13083002A",99,7274.85032429167
"130830034",173,7035.28837513652
"130830068_G",45,1771.9104387077
"130830068_M",18,253.722826255615
"130830072",53,6445.37728104047
"1308301020161",14,1158
"1308301020176",19,1749
"1308301020509",74,709
"1308301020513",18,541
"1308301330015",2,40
"1308301330320",15,1755
"1308301330335",13,1409
"130830133034A",14,2491
"1308301330354",7,1267
"1308301330369",10,1701
"1308301330388",2,349
"1308301330392",8,466
"1308301330405",4,509
"1308301330424",14,1180
"1308301330439",19,1728
"1308301330443",4,431
"1308301330458",17,1050
"1308301330462",6,275
"1308301330477",17,825
"1308301330481",15,1854
"1308301330496",8,64
"1308301330532",2,NA
